user,timestampUsec,time,authorbadge,text,purchaseAmount,type,video_id,Chat_No
はに〇,1606405726741622,1:10:49,,二重の箱に入れとけｗ,,NORMALCHAT,yZ40z915c_Q,1975
北電子太郎,1606405730595166,1:10:52,,にゃんこがカワイイ,,NORMALCHAT,yZ40z915c_Q,1976
yuki,1606405730795595,1:10:53,,でもスマホ楽しいんだよね,,NORMALCHAT,yZ40z915c_Q,1977
かりんとう,1606405732774521,1:10:55,,一時間ごとに必ずスマホ触りながら歩くって決めたら逆に収まった,,NORMALCHAT,yZ40z915c_Q,1978
伊藤ひろし,1606405745443820,1:11:07,,欲望のコントロールは難しいのか,,NORMALCHAT,yZ40z915c_Q,1979
tn kkhu,1606405750443955,1:11:12,,だいごさんはいつどんな状況で本を読んでいますか？何時頃寝て何時頃起きますか？,￥610,SUPERCHAT,yZ40z915c_Q,1980
七瀬リリア,1606405750570288,1:11:12,,ファミレスで勉強はマジおすすめ。,,NORMALCHAT,yZ40z915c_Q,1981
SA TO,1606405751170295,1:11:13,,すごいふせん！,,NORMALCHAT,yZ40z915c_Q,1982
ゆい,1606405751252467,1:11:13,,付箋すごい数！,,NORMALCHAT,yZ40z915c_Q,1983
Bird's tale by Yoh_zo,1606405753534955,1:11:15,,いいなー196cm,,NORMALCHAT,yZ40z915c_Q,1984
Sakuchan E,1606405754479362,1:11:16,メンバー（1 年 5 か月）,すごい付箋の量,,NORMALCHAT,yZ40z915c_Q,1985
Yu kie,1606405764545503,1:11:26,メンバー（3 か月）,サブスクリプション,,NORMALCHAT,yZ40z915c_Q,1986
ayako terayama*寺山 文子*,1606405766191488,1:11:28,メンバー（7 か月）,ぬこ様の誘惑には抗えません?,,NORMALCHAT,yZ40z915c_Q,1987
はに〇,1606405768631569,1:11:31,,買いました！でも、まだ読めないでいます、年末年始休みに読む,,NORMALCHAT,yZ40z915c_Q,1988
柚原あづき,1606405774260204,1:11:36,,いじめのようなことをしてくるのに話しかけてくる人がいます。注意し無視しても効果なしです。対処方法はありますか。謎過ぎて怖いです、、、,"￥1,000",SUPERCHAT,yZ40z915c_Q,1989
つきやムン,1606405775687425,1:11:38,,? ????,,NORMALCHAT,yZ40z915c_Q,1990
なるにゃんdd,1606405777992897,1:11:40,,すごい熟読！??,,NORMALCHAT,yZ40z915c_Q,1991
真夜中にジムへ行く,1606405785034413,1:11:47,,ぬこたん待機してるのきゃわ,,NORMALCHAT,yZ40z915c_Q,1992
93 ・,1606405785544113,1:11:47,,同じ職場の女性に、最近仕事の内容や作業時間も指定され｢あなたの為なのよ｣って言われたのですが言う心理と対処法教えてほしいです?,"￥1,220",SUPERCHAT,yZ40z915c_Q,1993
つきやムン,1606405789291529,1:11:51,,? ????,,NORMALCHAT,yZ40z915c_Q,1994
kiu,1606405798886060,1:12:01,メンバー（4 か月）,本当にね,,NORMALCHAT,yZ40z915c_Q,1995
Bird's tale by Yoh_zo,1606405803189761,1:12:05,,雲母さんは良い方ね。本当にありがとう！,,NORMALCHAT,yZ40z915c_Q,1996
七瀬リリア,1606405803309815,1:12:05,,1冊本書けそう,,NORMALCHAT,yZ40z915c_Q,1997
miu,1606405812380813,1:12:14,,猫ちゃん可愛い?,,NORMALCHAT,yZ40z915c_Q,1998
散歩道,1606405812983256,1:12:15,,ファン・ゴッホの人物,,NORMALCHAT,yZ40z915c_Q,1999
こまの彼氏ф,1606405818601265,1:12:20,,猫が可愛い?,,NORMALCHAT,yZ40z915c_Q,2000
七変化,1606405821196664,1:12:23,,ぬこさんその場所好きみたい?,,NORMALCHAT,yZ40z915c_Q,2001
あらなお,1606405826618694,1:12:29,,朝10時にコーヒーを飲んだとして昼12時ごろに睡眠をとると、カフェインの影響で睡眠の質は下がらないでしょうか。,"￥6,100",SUPERCHAT,yZ40z915c_Q,2002
こまの彼氏ф,1606405827237350,1:12:29,,,,NORMALCHAT,yZ40z915c_Q,2003
seiko,1606405829307992,1:12:31,,ネコ?ちゃんDaigoさん見てる???,,NORMALCHAT,yZ40z915c_Q,2004
はに〇,1606405829981576,1:12:32,,ぬこさんは、DaiGo待ち・・・,,NORMALCHAT,yZ40z915c_Q,2005
匿名希望,1606405830960679,1:12:33,,謙虚…,,NORMALCHAT,yZ40z915c_Q,2006
maya,1606405831072846,1:12:33,,?,,NORMALCHAT,yZ40z915c_Q,2007
Bird's tale by Yoh_zo,1606405834038156,1:12:36,,ちょ。身も蓋もない,,NORMALCHAT,yZ40z915c_Q,2008
PlayLists,1606405834135962,1:12:36,メンバー（8 か月）,自分が上司だったら嫌って言い方おもしろいｗ,,NORMALCHAT,yZ40z915c_Q,2009
くるみ。,1606405837309523,1:12:39,メンバー（1 か月）,??,,NORMALCHAT,yZ40z915c_Q,2010
ゆか,1606405839070363,1:12:41,,金だよ金w,,NORMALCHAT,yZ40z915c_Q,2011
まほ,1606405839727478,1:12:42,,接客業をしています。このお客さん傲慢だなと思うのが30代以降の人が多いような気がします。歳をとっていくと、傲慢になりやすいのでしょうか。,"￥1,000",SUPERCHAT,yZ40z915c_Q,2012
Mカフェ,1606405841083727,1:12:43,,草,,NORMALCHAT,yZ40z915c_Q,2013
白猫3兄弟しゅうぶん,1606405841476659,1:12:43,新規メンバー,うんうん、ねーよ笑,,NORMALCHAT,yZ40z915c_Q,2014
Yu kie,1606405843274354,1:12:45,メンバー（3 か月）,ww,,NORMALCHAT,yZ40z915c_Q,2015
前世,1606405843749436,1:12:46,,yoh73422 照れますなぁ??,,NORMALCHAT,yZ40z915c_Q,2016
SA TO,1606405843776183,1:12:46,,素敵です！,,NORMALCHAT,yZ40z915c_Q,2017
kiu,1606405843816976,1:12:46,メンバー（4 か月）,生き方が違うなら稼ぎ方も当然違うよね,,NORMALCHAT,yZ40z915c_Q,2018
auminmusic,1606405844089007,1:12:46,,あははははは,,NORMALCHAT,yZ40z915c_Q,2019
かりんとう,1606405844954147,1:12:47,,ほんとそう思う。,,NORMALCHAT,yZ40z915c_Q,2020
ゆうこ,1606405845001308,1:12:47,,アサーション好きです。習得したい,,NORMALCHAT,yZ40z915c_Q,2021
美海みう,1606405852805443,1:12:55,メンバー（4 か月）,ぬこたん、ちょこんと座って?可愛い??,,NORMALCHAT,yZ40z915c_Q,2022
なるにゃんdd,1606405853450791,1:12:55,,?かわいい～,,NORMALCHAT,yZ40z915c_Q,2023
ファイナルたかし,1606405854803002,1:12:57,,すげえ納得しました！！！,,NORMALCHAT,yZ40z915c_Q,2024
PlayLists,1606405854998513,1:12:57,メンバー（8 か月）,でも、心の中でそう思ってる人多そうｗ言うか言わないかだけで,,NORMALCHAT,yZ40z915c_Q,2025
chikyako0131,1606405855451531,1:12:57,,ホントわかんないのよ,,NORMALCHAT,yZ40z915c_Q,2026
伊藤ひろし,1606405856593929,1:12:58,,daigoさんは社長向きでしょう,,NORMALCHAT,yZ40z915c_Q,2027
白猫3兄弟しゅうぶん,1606405862429619,1:13:04,新規メンバー,個性ですね,,NORMALCHAT,yZ40z915c_Q,2028
まんまるぷぅ,1606405863512752,1:13:05,,しかし、わたしはサラリーマン( ????? ),,NORMALCHAT,yZ40z915c_Q,2029
SA TO,1606405867184227,1:13:09,,納得です！,,NORMALCHAT,yZ40z915c_Q,2030
vega,1606405868130833,1:13:10,,経営者なんでしょ～？,,NORMALCHAT,yZ40z915c_Q,2031
前世,1606405868385009,1:13:10,,「さん」をつけ忘れてしまいました。すみません。,,NORMALCHAT,yZ40z915c_Q,2032
板倉広行,1606405869971144,1:13:12,,おっしゃる通りです。,,NORMALCHAT,yZ40z915c_Q,2033
ぐみ,1606405870401467,1:13:12,,金だよ金、言ってみたいw,,NORMALCHAT,yZ40z915c_Q,2034
DEMENT,1606405870795803,1:13:13,,（笑）,,NORMALCHAT,yZ40z915c_Q,2035
石井智恵,1606405877225587,1:13:19,,ぬこたんの熱視線がたまらんです(?????)?,,NORMALCHAT,yZ40z915c_Q,2036
ゆか,1606405878501496,1:13:20,,金だよ金w笑う,,NORMALCHAT,yZ40z915c_Q,2037
太郎福HITOMI,1606405884298525,1:13:26,メンバー（5 か月）,師匠のトークは、オモシロすぎ??,,NORMALCHAT,yZ40z915c_Q,2038
風弥かんな,1606405886740247,1:13:29,,わたしも仕事受かってお金にゆとり持ちたいです！,,NORMALCHAT,yZ40z915c_Q,2039
岡田,1606405887353935,1:13:29,,次回は３行以内にまとめますね！ありがとうございます！Dラボでこれからも学ばせていただきます！！,"￥1,000",SUPERCHAT,yZ40z915c_Q,2040
北電子太郎,1606405887649091,1:13:30,,猫おとなしい,,NORMALCHAT,yZ40z915c_Q,2041
來犬,1606405887721259,1:13:30,,めちゃめちゃいいこと聞いたかも,,NORMALCHAT,yZ40z915c_Q,2042
隆二,1606405892243327,1:13:34,,許容力？,,NORMALCHAT,yZ40z915c_Q,2043
Taco Game,1606405892289719,1:13:34,,就活や将来で悩みまくってたからDAIGOさんの言葉きいて涙でてきた,,NORMALCHAT,yZ40z915c_Q,2044
tea mana,1606405892493615,1:13:34,,ぬこしゃん?(＊?艸?)?*?,,NORMALCHAT,yZ40z915c_Q,2045
PlayLists,1606405892825600,1:13:35,メンバー（8 か月）,わかりやすいｗｗ,,NORMALCHAT,yZ40z915c_Q,2046
風弥かんな,1606405898980976,1:13:41,,ヌコさま?,,NORMALCHAT,yZ40z915c_Q,2047
拓実802,1606405906845840,1:13:49,,やほ,,NORMALCHAT,yZ40z915c_Q,2048
Bird's tale by Yoh_zo,1606405913120059,1:13:55,,雲母さん、親切すぎ！ 大丈夫ですよ?,,NORMALCHAT,yZ40z915c_Q,2049
かりんとう,1606405921258170,1:14:03,,頭おかしい人の方が面白いと思うけどな,,NORMALCHAT,yZ40z915c_Q,2050
伊藤ひろし,1606405922810469,1:14:05,,瞑想って難しそう,,NORMALCHAT,yZ40z915c_Q,2051
風弥かんな,1606405924341035,1:14:06,,DAIGOさんは組織に入らなくてよかったです！,,NORMALCHAT,yZ40z915c_Q,2052
はに〇,1606405924917681,1:14:07,,DaiGoは、一つの確立されたキャラ、だと思っているから「さん」なくても大丈夫と、思ってるｗ,,NORMALCHAT,yZ40z915c_Q,2053
ドラえもん,1606405928486719,1:14:10,,ぬこずっと待ってんね,,NORMALCHAT,yZ40z915c_Q,2054
umi bondgirl,1606405931943852,1:14:14,,可愛すぎる??,,NORMALCHAT,yZ40z915c_Q,2055
Bird's tale by Yoh_zo,1606405934324509,1:14:16,,みこさん,,NORMALCHAT,yZ40z915c_Q,2056
MAMIMAMI佐々木麻実,1606405934464673,1:14:16,,ヌコさま、ジッとしてますね??かわいぃ??,,NORMALCHAT,yZ40z915c_Q,2057
ゆか,1606405935608254,1:14:18,,御社の志望動機は金だよ金,,NORMALCHAT,yZ40z915c_Q,2058
PlayLists,1606405941696393,1:14:24,メンバー（8 か月）,ホントだ、もう1時だったー！,,NORMALCHAT,yZ40z915c_Q,2059
ayako terayama*寺山 文子*,1606405942200846,1:14:24,メンバー（7 か月）,金だよ金w,,NORMALCHAT,yZ40z915c_Q,2060
miu,1606405945691004,1:14:28,,リスナー猫ちゃん,,NORMALCHAT,yZ40z915c_Q,2061
Bird's tale by Yoh_zo,1606405946451110,1:14:28,,★質問締切です★,,NORMALCHAT,yZ40z915c_Q,2062
Yu kie,1606405947837012,1:14:30,メンバー（3 か月）,マインドフルネス、セルフコンパッション,,NORMALCHAT,yZ40z915c_Q,2063
ヤギミノル,1606405948202109,1:14:30,モデレーター,??質問締め切りです??,,NORMALCHAT,yZ40z915c_Q,2064
風弥かんな,1606405949237397,1:14:31,,フリーランスで成功されて本当に素敵です。,,NORMALCHAT,yZ40z915c_Q,2065
前世,1606405951143988,1:14:33,,?,,NORMALCHAT,yZ40z915c_Q,2066
M H,1606405955951360,1:14:38,,DAIGOさんの考え方にものすごく共感,,NORMALCHAT,yZ40z915c_Q,2067
ぐみ,1606405956221469,1:14:38,,個性を全面的に出してる人は羨ましく思いますね,,NORMALCHAT,yZ40z915c_Q,2068
散歩道,1606405956658687,1:14:39,,ぬこさま、最前列でめっちゃ聴いてます,,NORMALCHAT,yZ40z915c_Q,2069
Knot,1606405958662468,1:14:41,,何の質問にも答えられて本当に凄いな,,NORMALCHAT,yZ40z915c_Q,2070
大庭美夏,1606405959746166,1:14:42,,友人が辛い経験をし落ち込んでますが私にはその経験がないので「辛かったね」と言うのが空々しくなるのではとか共感出来ない場合、どの様に励まし勇気づける事ができますか？,"￥1,500",SUPERCHAT,yZ40z915c_Q,2071
PlayLists,1606405963733579,1:14:46,メンバー（8 か月）,新規質問は締め切りましたまた次回トライしてくれたら嬉しいにゃー,,NORMALCHAT,yZ40z915c_Q,2072
Bird's tale by Yoh_zo,1606405964700732,1:14:47,,あれ、ごついかったわー,,NORMALCHAT,yZ40z915c_Q,2073
maya,1606405966750966,1:14:49,,トーンダウンする時間?,,NORMALCHAT,yZ40z915c_Q,2074
kiu,1606405967773800,1:14:50,メンバー（4 か月）,就寝の儀,,NORMALCHAT,yZ40z915c_Q,2075
なるにゃんdd,1606405971116448,1:14:53,,～～質問しめきり～～,,NORMALCHAT,yZ40z915c_Q,2076
kumico Ch,1606405972097479,1:14:54,,だいごさんの子守唄…ねむねむ,,NORMALCHAT,yZ40z915c_Q,2077
中央中枢センター,1606405972527446,1:14:54,,家が近かったも本音かな。,,NORMALCHAT,yZ40z915c_Q,2078
チルト365,1606405973381189,1:14:55,,締め切ってます,,NORMALCHAT,yZ40z915c_Q,2079
tea mana,1606405973506949,1:14:55,,?の?やな_(:3 」∠)_,,NORMALCHAT,yZ40z915c_Q,2080
風弥かんな,1606405974678863,1:14:57,,ぬこさま。どうしたんだろぅ。。,,NORMALCHAT,yZ40z915c_Q,2081
大庭美夏,1606405978545620,1:15:00,メンバー（1 年 7 か月）,あー間に合わなかった！orz,,NORMALCHAT,yZ40z915c_Q,2082
ニース,1606405979300387,1:15:01,,シャットダウンリチュアル トーンダウンする儀式,,NORMALCHAT,yZ40z915c_Q,2083
ゆか,1606405985788599,1:15:08,,意識高い猫 ぬこ,,NORMALCHAT,yZ40z915c_Q,2084
Bird's tale by Yoh_zo,1606405987217806,1:15:09,,いまから1時間半後か,,NORMALCHAT,yZ40z915c_Q,2085
リズラズがワユーマンをカットォォォ,1606405988175125,1:15:10,,にゃーかわいい,,NORMALCHAT,yZ40z915c_Q,2086
kumico Ch,1606405989321941,1:15:11,,うとうと…,,NORMALCHAT,yZ40z915c_Q,2087
ayako terayama*寺山 文子*,1606405989341201,1:15:11,メンバー（7 か月）,みこ様来たね?,,NORMALCHAT,yZ40z915c_Q,2088
Yu kie,1606405991949649,1:15:14,メンバー（3 か月）,楽しく時間忘れてた,,NORMALCHAT,yZ40z915c_Q,2089
Bird's tale by Yoh_zo,1606405997301365,1:15:19,,ちょ,,NORMALCHAT,yZ40z915c_Q,2090
shinya bla,1606405998630565,1:15:20,,凄い頭良いですよねだいごさん,,NORMALCHAT,yZ40z915c_Q,2091
Bird's tale by Yoh_zo,1606406000360796,1:15:22,,キャットファイト,,NORMALCHAT,yZ40z915c_Q,2092
リズラズがワユーマンをカットォォォ,1606406002076493,1:15:24,,また時間にゃーかわいい,,NORMALCHAT,yZ40z915c_Q,2093
かりんとう,1606406003100391,1:15:25,,自分はボディスキャン瞑想すると必ず寝てしまう(瞑想失敗してるw),,NORMALCHAT,yZ40z915c_Q,2094
ヤギミノル,1606406004440618,1:15:26,モデレーター,??質問締め切りです??,,NORMALCHAT,yZ40z915c_Q,2095
ゆか,1606406006260570,1:15:28,,パンチ！,,NORMALCHAT,yZ40z915c_Q,2096
maya,1606406006658479,1:15:29,,???,,NORMALCHAT,yZ40z915c_Q,2097
伊藤ひろし,1606406007123171,1:15:29,,ぬこかわええええ,,NORMALCHAT,yZ40z915c_Q,2098
kumico Ch,1606406008357747,1:15:30,,寝ましょ？,,NORMALCHAT,yZ40z915c_Q,2099
リズラズがワユーマンをカットォォォ,1606406009392099,1:15:31,,かわいい,,NORMALCHAT,yZ40z915c_Q,2100
くるみ。,1606406011491916,1:15:33,メンバー（1 か月）,にゃーん?,,NORMALCHAT,yZ40z915c_Q,2101
山田ニンニ,1606406011592069,1:15:33,,ログアウト,,NORMALCHAT,yZ40z915c_Q,2102
Bird's tale by Yoh_zo,1606406011749695,1:15:34,,みゃーん,,NORMALCHAT,yZ40z915c_Q,2103
風弥かんな,1606406011813568,1:15:34,,座ってる?ぬこさまの形えぐいぐらい可愛ぇぇです?,,NORMALCHAT,yZ40z915c_Q,2104
ニース,1606406012383544,1:15:34,,ピコー,,NORMALCHAT,yZ40z915c_Q,2105
auminmusic,1606406014625765,1:15:37,,ねこ退場,,NORMALCHAT,yZ40z915c_Q,2106
ぐみ,1606406016046377,1:15:38,,ぴこさーん！,,NORMALCHAT,yZ40z915c_Q,2107
Bird's tale by Yoh_zo,1606406016889888,1:15:39,,ぴこさんラブリー,,NORMALCHAT,yZ40z915c_Q,2108
くるみ。,1606406017471694,1:15:39,メンバー（1 か月）,ピコたん?,,NORMALCHAT,yZ40z915c_Q,2109
白猫3兄弟しゅうぶん,1606406017709462,1:15:40,新規メンバー,深部体温的には寝る前の1時間位前の入浴がオススメ?,,NORMALCHAT,yZ40z915c_Q,2110
まんまるぷぅ,1606406019843876,1:15:42,,かわいい,,NORMALCHAT,yZ40z915c_Q,2111
ayako terayama*寺山 文子*,1606406020018263,1:15:42,メンバー（7 か月）,キャットファイト?,,NORMALCHAT,yZ40z915c_Q,2112
白熊らら子,1606406020219582,1:15:42,,可愛い?,,NORMALCHAT,yZ40z915c_Q,2113
maya,1606406020499372,1:15:42,,あ??,,NORMALCHAT,yZ40z915c_Q,2114
田中莉絵,1606406022035364,1:15:44,,かわいいーー,,NORMALCHAT,yZ40z915c_Q,2115
山田ニンニ,1606406022266465,1:15:44,,ぴこたんんんんん?,,NORMALCHAT,yZ40z915c_Q,2116
伊藤ひろし,1606406022967028,1:15:45,,かわええなー,,NORMALCHAT,yZ40z915c_Q,2117
c tabby,1606406023593766,1:15:45,,可愛い?,,NORMALCHAT,yZ40z915c_Q,2118
はに〇,1606406023728008,1:15:46,,ぬこみこ・・・キャットファイト？,,NORMALCHAT,yZ40z915c_Q,2119
Bird's tale by Yoh_zo,1606406025336861,1:15:47,,くぅーん,,NORMALCHAT,yZ40z915c_Q,2120
拓実802,1606406025403856,1:15:47,,ピコさん,,NORMALCHAT,yZ40z915c_Q,2121
美海みう,1606406025645432,1:15:48,メンバー（4 か月）,みこたん?,,NORMALCHAT,yZ40z915c_Q,2122
ゆい,1606406025902568,1:15:48,,可愛い?,,NORMALCHAT,yZ40z915c_Q,2123
七変化,1606406026096376,1:15:48,,かわいい,,NORMALCHAT,yZ40z915c_Q,2124
bu uuu,1606406026259363,1:15:48,,ニャーん,,NORMALCHAT,yZ40z915c_Q,2125
tea mana,1606406026798971,1:15:49,,?むちゃ喋った後、トーンダウンしてるんや,,NORMALCHAT,yZ40z915c_Q,2126
kana kana,1606406026910066,1:15:49,,かわいい！！！,,NORMALCHAT,yZ40z915c_Q,2127
moco maco,1606406026962560,1:15:49,,わーーピコたん～,,NORMALCHAT,yZ40z915c_Q,2128
Mカフェ,1606406027019451,1:15:49,,睡眠の為ブルーライトカット９９％の眼鏡かけてます。,,NORMALCHAT,yZ40z915c_Q,2129
kiu,1606406027259559,1:15:49,メンバー（4 か月）,ピコさーん??,,NORMALCHAT,yZ40z915c_Q,2130
まてぃーにぎょ,1606406027350234,1:15:49,,かわいい,,NORMALCHAT,yZ40z915c_Q,2131
auminmusic,1606406027696984,1:15:50,,かわいい～！,,NORMALCHAT,yZ40z915c_Q,2132
大庭美夏,1606406027701085,1:15:50,メンバー（1 年 7 か月）,ぬこさんDaiGoさんに何か言いたそうだった,,NORMALCHAT,yZ40z915c_Q,2133
PlayLists,1606406029209209,1:15:51,メンバー（8 か月）,ふふっ,,NORMALCHAT,yZ40z915c_Q,2134
くるみ。,1606406029870636,1:15:52,メンバー（1 か月）,ピコたん??,,NORMALCHAT,yZ40z915c_Q,2135
Bird's tale by Yoh_zo,1606406029919195,1:15:52,,確かに,,NORMALCHAT,yZ40z915c_Q,2136
ちゃらあい,1606406030093426,1:15:52,モデレーター,捕まったー??ω??笑,,NORMALCHAT,yZ40z915c_Q,2137
Yu kie,1606406030241534,1:15:52,メンバー（3 か月）,ニャーン,,NORMALCHAT,yZ40z915c_Q,2138
maya,1606406030311242,1:15:52,,ピコちゃん?,,NORMALCHAT,yZ40z915c_Q,2139
すずsuzu,1606406030442962,1:15:52,,ぴこたん??,,NORMALCHAT,yZ40z915c_Q,2140
ゆゆ,1606406030566325,1:15:52,,かわいい～～～～,,NORMALCHAT,yZ40z915c_Q,2141
ゆうこ,1606406031105013,1:15:53,,ピコ,,NORMALCHAT,yZ40z915c_Q,2142
kumico Ch,1606406031890767,1:15:54,,ぴこたんとねりゅ,,NORMALCHAT,yZ40z915c_Q,2143
M H,1606406033075678,1:15:55,,声がかわえぇ,,NORMALCHAT,yZ40z915c_Q,2144
